iso3_country,location,year,month,sector,sub_sector,total_emission
ARG,Buenos Aires,2021,1,Agriculture,crop-residues,0.0
ARG,Buenos Aires,2021,1,Agriculture,cropland-fires,23.786849089636178
ARG,Buenos Aires,2021,1,Agriculture,enteric-fermentation-cattle-operation,7738.012175547452
ARG,Buenos Aires,2021,1,Agriculture,enteric-fermentation-cattle-pasture,16570.257058328163
ARG,Buenos Aires,2021,1,Agriculture,enteric-fermentation-other,1269.4916703143128
ARG,Buenos Aires,2021,1,Agriculture,manure-applied-to-soils,0.0
ARG,Buenos Aires,2021,1,Agriculture,manure-left-on-pasture-cattle,309.4997804921807
ARG,Buenos Aires,2021,1,Agriculture,manure-management-cattle-operation,505.986927461546
ARG,Buenos Aires,2021,1,Agriculture,manure-management-other,127.3348233640361
ARG,Buenos Aires,2021,1,Agriculture,other-agricultural-soil-emissions,0.0
ARG,Buenos Aires,2021,1,Agriculture,rice-cultivation,3921.90083626072
ARG,Buenos Aires,2021,1,Agriculture,synthetic-fertilizer-application,0.0
ARG,Buenos Aires,2021,1,Buildings (Onsite Fuel Use),non-residential-onsite-fuel-usage,6.7681087136295055
ARG,Buenos Aires,2021,1,Buildings (Onsite Fuel Use),other-onsite-fuel-usage,0.0
ARG,Buenos Aires,2021,1,Buildings (Onsite Fuel Use),residential-onsite-fuel-usage,133.14075000000005
ARG,Buenos Aires,2021,1,Forestry & Land Use,forest-land-clearing,0.0
ARG,Buenos Aires,2021,1,Forestry & Land Use,forest-land-degradation,0.0
ARG,Buenos Aires,2021,1,Forestry & Land Use,forest-land-fires,0.0
ARG,Buenos Aires,2021,1,Forestry & Land Use,net-forest-land,0.0
ARG,Buenos Aires,2021,1,Forestry & Land Use,net-shrubgrass,0.0
ARG,Buenos Aires,2021,1,Forestry & Land Use,net-wetland,0.0
ARG,Buenos Aires,2021,1,Forestry & Land Use,removals,0.0
ARG,Buenos Aires,2021,1,Forestry & Land Use,shrubgrass-fires,0.0
ARG,Buenos Aires,2021,1,Forestry & Land Use,wetland-fires,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,bauxite-mining,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,coal-mining,4.629733706266909e-07
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,copper-mining,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,iron-mining,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,oil-and-gas-production,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,oil-and-gas-refining,22.085950838212604
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,oil-and-gas-transport,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,other-energy-use,37.73287490735871
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,other-fossil-fuel-operations,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,other-mining-quarrying,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,other-solid-fuels,45.223749819616685
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,rock-quarrying,0.0
ARG,Buenos Aires,2021,1,Fossil Fuel Extraction & Mining,sand-quarrying,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,aluminum,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,cement,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,chemicals,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,fluorinated-gases,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,food-beverage-tobacco,54.729207518036944
ARG,Buenos Aires,2021,1,Manufacturing & Industry,glass,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,iron-and-steel,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,lime,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,other-chemicals,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,other-manufacturing,77.32305617779326
ARG,Buenos Aires,2021,1,Manufacturing & Industry,other-metals,14.101168142011646
ARG,Buenos Aires,2021,1,Manufacturing & Industry,petrochemical-steam-cracking,230.39928033333325
ARG,Buenos Aires,2021,1,Manufacturing & Industry,pulp-and-paper,0.0
ARG,Buenos Aires,2021,1,Manufacturing & Industry,textiles-leather-apparel,37.87830368521477
ARG,Buenos Aires,2021,1,Manufacturing & Industry,wood-and-wood-products,0.2953734632128916
ARG,Buenos Aires,2021,1,Power & Heat,electricity-generation,0.0
ARG,Buenos Aires,2021,1,Power & Heat,heat-plants,0.0
ARG,Buenos Aires,2021,1,Power & Heat,water-reservoirs,7.194204557
ARG,Buenos Aires,2021,1,Transportation,domestic-aviation,0.1761209285178145
ARG,Buenos Aires,2021,1,Transportation,domestic-shipping,1.4492789955890018
ARG,Buenos Aires,2021,1,Transportation,international-aviation,0.5743824693837898
ARG,Buenos Aires,2021,1,Transportation,international-shipping,1.161347281905366
ARG,Buenos Aires,2021,1,Transportation,non-broadcasting-vessels,0.0
ARG,Buenos Aires,2021,1,Transportation,other-transport,0.7189281871692983
ARG,Buenos Aires,2021,1,Transportation,railways,0.0
ARG,Buenos Aires,2021,1,Transportation,road-transportation,88.10574145200583
ARG,Buenos Aires,2021,1,Waste,biological-treatment-of-solid-waste-and-biogenic,0.0
ARG,Buenos Aires,2021,1,Waste,domestic-wastewater-treatment-and-discharge,2751.3553222809924
ARG,Buenos Aires,2021,1,Waste,incineration-and-open-burning-of-waste,17.05855405645195
ARG,Buenos Aires,2021,1,Waste,industrial-wastewater-treatment-and-discharge,1624.3060231695304
