iso3_country,location,sector,year,total_emission
ARG,Buenos Aires,agriculture,2021,369756.1354653289
ARG,Buenos Aires,buildings-fuel-use,2021,3224.0065317324584
ARG,Buenos Aires,fossil-fuel-operations,2021,805.2828857929477
ARG,Buenos Aires,land-use-change,2021,73.07360125354894
ARG,Buenos Aires,manufacturing,2021,5002.995103370712
ARG,Buenos Aires,power,2021,0.0
ARG,Buenos Aires,transportation,2021,1545.7076641465987
ARG,Buenos Aires,waste,2021,170701.2430248339
ARG,Buenos Aires,agriculture,2022,369929.1804319477
ARG,Buenos Aires,buildings-fuel-use,2022,3014.473374465918
ARG,Buenos Aires,fossil-fuel-operations,2022,1140.4798931836967
ARG,Buenos Aires,land-use-change,2022,70.18044529547318
ARG,Buenos Aires,manufacturing,2022,5367.917531628089
ARG,Buenos Aires,power,2022,0.0
ARG,Buenos Aires,transportation,2022,1381.7906698286502
ARG,Buenos Aires,waste,2022,172592.44157280488
ARG,Buenos Aires,agriculture,2023,374773.7673241396
ARG,Buenos Aires,buildings-fuel-use,2023,2939.3492725294923
ARG,Buenos Aires,fossil-fuel-operations,2023,1132.9950490113856
ARG,Buenos Aires,land-use-change,2023,65.46435450305819
ARG,Buenos Aires,manufacturing,2023,5515.326971755303
ARG,Buenos Aires,power,2023,0.0
ARG,Buenos Aires,transportation,2023,1409.3809520510204
ARG,Buenos Aires,waste,2023,174108.539662955
ARG,Buenos Aires,agriculture,2024,377344.4024958774
ARG,Buenos Aires,buildings-fuel-use,2024,2956.638225412302
ARG,Buenos Aires,fossil-fuel-operations,2024,1150.071300353786
ARG,Buenos Aires,land-use-change,2024,70.70944014204544
ARG,Buenos Aires,manufacturing,2024,5058.066913020678
ARG,Buenos Aires,power,2024,0.0
ARG,Buenos Aires,transportation,2024,1331.1994172004477
ARG,Buenos Aires,waste,2024,175779.56665807334
ARG,Buenos Aires,agriculture,2025,377323.6477373185
ARG,Buenos Aires,buildings-fuel-use,2025,2968.973453205273
ARG,Buenos Aires,fossil-fuel-operations,2025,1149.9870819074156
ARG,Buenos Aires,land-use-change,2025,73.73614307036443
ARG,Buenos Aires,manufacturing,2025,5678.288478616117
ARG,Buenos Aires,power,2025,0.0
ARG,Buenos Aires,transportation,2025,1346.9277595485742
ARG,Buenos Aires,waste,2025,176984.14031293307
ARG,Buenos Aires,agriculture,2026,156720.86878889945
ARG,Buenos Aires,buildings-fuel-use,2026,1013.783996600596
ARG,Buenos Aires,fossil-fuel-operations,2026,479.0901756547436
ARG,Buenos Aires,land-use-change,2026,30.327986356826404
ARG,Buenos Aires,manufacturing,2026,1838.978537137927
ARG,Buenos Aires,power,2026,0.0
ARG,Buenos Aires,transportation,2026,486.2217079819404
ARG,Buenos Aires,waste,2026,73838.28299719654
ARG,Chubut,agriculture,2021,515186.92838823417
ARG,Chubut,buildings-fuel-use,2021,168.90710367176808
ARG,Chubut,fossil-fuel-operations,2021,4788.0125131561335
ARG,Chubut,land-use-change,2021,1407.5195162710831
ARG,Chubut,manufacturing,2021,175.678347727415
ARG,Chubut,power,2021,0.0
ARG,Chubut,transportation,2021,83.62643587544834
ARG,Chubut,waste,2021,1800.102258255516
ARG,Chubut,agriculture,2022,509475.4244717972
ARG,Chubut,buildings-fuel-use,2022,159.44639504930987
ARG,Chubut,fossil-fuel-operations,2022,4733.256836213114
ARG,Chubut,land-use-change,2022,1301.8763995783854
ARG,Chubut,manufacturing,2022,216.0352414935709
ARG,Chubut,power,2022,0.0
ARG,Chubut,transportation,2022,81.4141915378877
ARG,Chubut,waste,2022,1815.2172459141696
ARG,Chubut,agriculture,2023,512992.0644983068
ARG,Chubut,buildings-fuel-use,2023,159.67672386580043
ARG,Chubut,fossil-fuel-operations,2023,4972.308872769866
ARG,Chubut,land-use-change,2023,1452.2384821250612
ARG,Chubut,manufacturing,2023,211.6094534230602
ARG,Chubut,power,2023,0.0
ARG,Chubut,transportation,2023,83.56195697383986
ARG,Chubut,waste,2023,1818.4233801716016
ARG,Chubut,agriculture,2024,519201.37160197657
ARG,Chubut,buildings-fuel-use,2024,160.19348057627963
ARG,Chubut,fossil-fuel-operations,2024,4733.654372580751
ARG,Chubut,land-use-change,2024,1365.779258030708
ARG,Chubut,manufacturing,2024,211.60945342023348
ARG,Chubut,power,2024,0.0
ARG,Chubut,transportation,2024,88.36544565475907
ARG,Chubut,waste,2024,1824.7857907161497
ARG,Chubut,agriculture,2025,519201.373617205
ARG,Chubut,buildings-fuel-use,2025,160.33212546803725
ARG,Chubut,fossil-fuel-operations,2025,4546.385877745986
ARG,Chubut,land-use-change,2025,1435.3625132583734
ARG,Chubut,manufacturing,2025,211.6094534198815
ARG,Chubut,power,2025,0.0
ARG,Chubut,transportation,2025,87.05040882054735
ARG,Chubut,waste,2025,1823.299458250512
ARG,Chubut,agriculture,2026,216054.76325805485
ARG,Chubut,buildings-fuel-use,2026,56.47106464935944
ARG,Chubut,fossil-fuel-operations,2026,1873.4115479036068
ARG,Chubut,land-use-change,2026,717.577653410199
ARG,Chubut,manufacturing,2026,88.0281862454365
ARG,Chubut,power,2026,0.0
ARG,Chubut,transportation,2026,36.13634049292736
ARG,Chubut,waste,2026,770.8101668740853
ARG,Córdoba,agriculture,2021,117324.63967878104
ARG,Córdoba,buildings-fuel-use,2021,764.9024225758293
ARG,Córdoba,fossil-fuel-operations,2021,150.09489479023784
ARG,Córdoba,land-use-change,2021,2088.244432604387
ARG,Córdoba,manufacturing,2021,621.7701375410267
ARG,Córdoba,power,2021,0.0
ARG,Córdoba,transportation,2021,351.858880091448
ARG,Córdoba,waste,2021,89313.05944492733
ARG,Córdoba,agriculture,2022,120753.98017449198
ARG,Córdoba,buildings-fuel-use,2022,711.8505624833092
ARG,Córdoba,fossil-fuel-operations,2022,240.5753342165439
ARG,Córdoba,land-use-change,2022,1885.1945264475687
ARG,Córdoba,manufacturing,2022,764.6033990801526
ARG,Córdoba,power,2022,0.0
ARG,Córdoba,transportation,2022,359.02774734480124
ARG,Córdoba,waste,2022,90733.43873410588
ARG,Córdoba,agriculture,2023,121363.3216484102
ARG,Córdoba,buildings-fuel-use,2023,684.4973032050012
ARG,Córdoba,fossil-fuel-operations,2023,233.81707960956248
ARG,Córdoba,land-use-change,2023,1924.6231746997223
ARG,Córdoba,manufacturing,2023,748.9394149129139
ARG,Córdoba,power,2023,0.0
ARG,Córdoba,transportation,2023,366.6751480033419
ARG,Córdoba,waste,2023,92059.41983725016
ARG,Córdoba,agriculture,2024,121653.84089629952
ARG,Córdoba,buildings-fuel-use,2024,689.7827003534438
ARG,Córdoba,fossil-fuel-operations,2024,234.8197841913069
ARG,Córdoba,land-use-change,2024,1918.7899362544945
ARG,Córdoba,manufacturing,2024,748.9394149029094
ARG,Córdoba,power,2024,0.0
ARG,Córdoba,transportation,2024,375.2521894543621
ARG,Córdoba,waste,2024,93386.48355287884
ARG,Córdoba,agriculture,2025,121640.93208518364
ARG,Córdoba,buildings-fuel-use,2025,693.6846908984294
ARG,Córdoba,fossil-fuel-operations,2025,234.81978415290772
ARG,Córdoba,land-use-change,2025,2123.541485154617
ARG,Córdoba,manufacturing,2025,748.9394149016637
