iso3_country,location,year,month,total_emission
ARG,Buenos Aires,2021,1,45804.55491507365
ARG,Buenos Aires,2021,2,44382.44599162486
ARG,Buenos Aires,2021,3,45776.93088134707
ARG,Buenos Aires,2021,4,45427.48681019469
ARG,Buenos Aires,2021,5,46068.47079548949
ARG,Buenos Aires,2021,6,45743.24229164651
ARG,Buenos Aires,2021,7,46369.50824524516
ARG,Buenos Aires,2021,8,46495.36425609168
ARG,Buenos Aires,2021,9,45779.20016494797
ARG,Buenos Aires,2021,10,46560.64442340713
ARG,Buenos Aires,2021,11,46097.37791598275
ARG,Buenos Aires,2021,12,46603.21758540816
ARG,Buenos Aires,2022,1,45884.87497171018
ARG,Buenos Aires,2022,2,44437.85131883348
ARG,Buenos Aires,2022,3,45848.969355164976
ARG,Buenos Aires,2022,4,45675.06874865387
ARG,Buenos Aires,2022,5,46272.708058152624
ARG,Buenos Aires,2022,6,45927.360891423166
ARG,Buenos Aires,2022,7,46483.174269736686
ARG,Buenos Aires,2022,8,46600.08928344323
ARG,Buenos Aires,2022,9,46009.17012083208
ARG,Buenos Aires,2022,10,46908.44651513299
ARG,Buenos Aires,2022,11,46472.08203346982
ARG,Buenos Aires,2022,12,46976.66835260124
ARG,Buenos Aires,2023,1,47157.88923255247
ARG,Buenos Aires,2023,2,45712.34722593751
ARG,Buenos Aires,2023,3,47112.25682780939
ARG,Buenos Aires,2023,4,46240.14953297732
ARG,Buenos Aires,2023,5,46783.4800026573
ARG,Buenos Aires,2023,6,46420.37027488475
ARG,Buenos Aires,2023,7,47060.27316692784
ARG,Buenos Aires,2023,8,47150.58799558745
ARG,Buenos Aires,2023,9,46503.75251231605
ARG,Buenos Aires,2023,10,46715.79331946604
ARG,Buenos Aires,2023,11,46289.76082234761
ARG,Buenos Aires,2023,12,46798.16267348112
ARG,Buenos Aires,2024,1,47005.533922068105
ARG,Buenos Aires,2024,2,46031.91686070477
ARG,Buenos Aires,2024,3,46955.64106040343
ARG,Buenos Aires,2024,4,46637.74006513741
