source_id,source_name,asset_type,source_type,sector,sub_sector,ch4_tonnes,lat,lon,iso3_country,location,gadm_id,year
46009704,Environmental Complex Norte Iii C Module,Sanitary Landfill,point-source,waste,solid-waste-disposal,87726.25732358433,-34.52395432,-58.61510754,ARG,Buenos Aires,ARG.1_1,2021
46010721,Brandsen Garbage Dump,Sanitary Landfill,point-source,waste,solid-waste-disposal,16304.038549571454,-35.04184121751574,-58.19108406831088,ARG,Buenos Aires,ARG.1_1,2021
46009610,Complejo Ambiental Gonzalez Catan,Sanitary Landfill,point-source,waste,solid-waste-disposal,15566.587047091049,-34.7867543,-58.6639696,ARG,Buenos Aires,ARG.1_1,2021
46015385,Environmental Complex Norte Iii,Sanitary Landfill,point-source,waste,solid-waste-disposal,11245.99915773036,-34.54382287,-58.60691071,ARG,Buenos Aires,ARG.1_1,2021
46015340,Predio,Dumpsite,point-source,waste,solid-waste-disposal,6545.27906209135,-38.07528889,-57.6506611,ARG,Buenos Aires,ARG.1_1,2021
46010703,Dump,Sanitary Landfill,point-source,waste,solid-waste-disposal,4879.86659575373,-33.90655077243261,-61.13629690291116,ARG,Buenos Aires,ARG.1_1,2021
46009609,Complejo Ambiental Ensenada,Sanitary Landfill,point-source,waste,solid-waste-disposal,4273.485413592612,-34.8498139,-57.9636528,ARG,Buenos Aires,ARG.1_1,2021
46010716,Dump,Sanitary Landfill,point-source,waste,solid-waste-disposal,4033.288274167064,-36.03499224638459,-59.10054877625356,ARG,Buenos Aires,ARG.1_1,2021
46010715,Landfill (Landfill),Sanitary Landfill,point-source,waste,solid-waste-disposal,3413.091603598265,-37.27964768749034,-59.192928791297874,ARG,Buenos Aires,ARG.1_1,2021
46008424,Bahia Blanca,Sanitary Landfill,point-source,waste,solid-waste-disposal,2915.829794641887,-38.77201938,-62.155838,ARG,Buenos Aires,ARG.1_1,2021
732004,"Dow Argentina Bahia Blanca Chemical Complex, Bahia Blanca,Buenos Aires",Natural Gas Liquids,point-source,manufacturing,petrochemical-steam-cracking,2764.791363999999,-38.765837,-62.290406,ARG,Buenos Aires,ARG.1_1,2021
46010681,Municipal Garbage Dump,Sanitary Landfill,point-source,waste,solid-waste-disposal,2598.533373086966,-37.44566976205989,-61.96682229042717,ARG,Buenos Aires,ARG.1_1,2021
46010714,Ecoblue,Sanitary Landfill,point-source,waste,solid-waste-disposal,2365.633301965568,-36.79331030667861,-59.818234404284695,ARG,Buenos Aires,ARG.1_1,2021
